"No.","Time","Source","Destination","Protocol","Length","Info","OPC_Message_Size","OPC_Sec.Requ_ID","MessageType","Message_String","S7_ROSCTR","S7_Data_Length","S7_Function","S7_Message","S7_Error_Code","Mod_Length","Mod_Transa_ID","Mod_Function","Mod_Req_Frame","Mod_Req_Delay","Mod_Data","tcp_Flags","tcp_WindowSize","srcPort","destPort","Delay"
"3540","231.145078327","172.18.0.3","10.0.0.2","Modbus/TCP","78","   Query: Trans: 43972; Unit:   1, Func:   1: Read Coils","","","","","","","","","","6","43972","Read Coils","","","","0x018","502","51766","502","0.228713225"
"3541","231.145559952","10.0.0.2","172.18.0.3","Modbus/TCP","76","Response: Trans: 43972; Unit:   1, Func:   1: Read Coils","","","","","","","","","","4","43972","Read Coils","3540","0.000481625","","0x018","43","502","51766","0.000481625"
"3542","231.145577599","172.18.0.3","10.0.0.2","TCP","66","51766  >  502 [ACK] Seq=769 Ack=641 Win=502 Len=0 TSval=897938807 TSecr=4262455483","","","","","","","","","","","","","","","","0x010","502","51766","502","0.000017647"
"3543","231.413528089","172.18.0.13","10.0.0.3","OpcUa","167","UA Secure Conversation Message: BrowseRequest","101","1719","BrowseRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.267950490"
"3544","231.414529567","10.0.0.3","172.18.0.13","OpcUa","283","UA Secure Conversation Message: BrowseResponse","217","1719","BrowseResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.001001478"
"3545","231.414547884","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=86007 Ack=113263 Win=501 Len=0 TSval=1867578052 TSecr=784798448","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000018317"
"3546","231.415150651","172.18.0.13","10.0.0.3","OpcUa","193","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsRequest","127","1720","TranslateBrowsePathsToNodeIdsRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000602767"
"3547","231.415938757","10.0.0.3","172.18.0.13","OpcUa","145","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsResponse","79","1720","TranslateBrowsePathsToNodeIdsResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.000788106"
"3548","231.415950221","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=86134 Ack=113342 Win=501 Len=0 TSval=1867578053 TSecr=784798449","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000011464"
"3549","231.416480233","172.18.0.13","10.0.0.3","OpcUa","173","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsRequest","107","1721","TranslateBrowsePathsToNodeIdsRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000530012"
"3550","231.417133098","10.0.0.3","172.18.0.13","OpcUa","145","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsResponse","79","1721","TranslateBrowsePathsToNodeIdsResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.000652865"
"3551","231.417191369","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=86241 Ack=113421 Win=501 Len=0 TSval=1867578055 TSecr=784798450","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000058271"
"3552","231.417694951","172.18.0.13","10.0.0.3","OpcUa","167","UA Secure Conversation Message: BrowseRequest","101","1722","BrowseRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000503582"
"3553","231.418470456","10.0.0.3","172.18.0.13","OpcUa","283","UA Secure Conversation Message: BrowseResponse","217","1722","BrowseResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.000775505"
"3554","231.419096714","172.18.0.13","10.0.0.3","OpcUa","172","UA Secure Conversation Message: BrowseRequest","106","1723","BrowseRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000626258"
"3555","231.419685891","10.0.0.3","172.18.0.13","OpcUa","240","UA Secure Conversation Message: BrowseResponse","174","1723","BrowseResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.000589177"
"3556","231.420259063","172.18.0.13","10.0.0.3","OpcUa","172","UA Secure Conversation Message: BrowseRequest","106","1724","BrowseRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000573172"
"3557","231.420848863","10.0.0.3","172.18.0.13","OpcUa","195","UA Secure Conversation Message: BrowseResponse","129","1724","BrowseResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.000589800"
"3558","231.421259388","172.18.0.13","10.0.0.3","OpcUa","165","UA Secure Conversation Message: ReadRequest","99","1725","ReadRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000410525"
